Model_ID,Technique,Model_File,File_Size_MB,RAM_Before_Load_MB,RAM_Used_MB,RAM_After_Load_MB,Avg_Inference_Time_ms,Min_Inference_Time_ms,Max_Inference_Time_ms,Avg_CPU_Usage_%,Max_CPU_Usage_%,Accuracy_%,Status
P1,Unstructured Pruning,P1_model.pt,8.74146556854248,103.7,14.01,89.69,188.4671,106.1978,333.506,79.38,84.65,45.62,Success
P2,Structured Pruning,P2_model.pt,8.74146556854248,176.78,116.79,59.99,198.3073,159.0402,285.4686,85.72,92.85,51.88,Success
P3,Magnitude Pruning,P3_model.pt,8.74146556854248,175.55,6.5,169.05,204.1091,160.3535,248.5294,81.54,86.65,100.0,Success
Q1,Dynamic Quantization,Q1_model.pt,8.719735145568848,165.47,6.64,158.83,174.6369,149.1716,192.2606,84.75,89.25,1.25,Success
Q2,Static PTQ,Q2_model.pt,8.719735145568848,173.07,6.56,166.52,184.3393,163.6762,216.5217,84.94,88.7,11.25,Success
Q3,QAT,Q3_model.pt,8.719735145568848,212.07,8.64,203.44,228.8571,208.3998,251.3025,79.24,87.75,0.0,Success
Q4,Weight-Only,Q4_model.pt,8.719735145568848,209.49,6.56,202.93,230.2228,146.3134,331.2803,79.54,84.2,92.5,Success
Q5,Mixed Precision (FP16),Q5_model.pt,4.4174909591674805,174.44,4.96,169.48,233.9819,172.9537,293.5681,75.53,82.95,100.0,Success
